t,o,h,l,c,v,n
1508990400,230,299.4,230,290,422812,60
1508994000,291.43,296.36,289.01,294.07,854679,60
1508997600,293.65,294.9,292,292.39,771411,60
1509001200,294.88,295.88,290.01,292.09,530783,60
1509004800,291.29,295,291,294.7,133340,60
1509008400,294.7,295,290.29,294.7,257562,60
1509012000,293.06,295,293.06,294.7,295656,60
1509015600,294.09,298.68,292.77,296.75,270705,60
1509019200,294.53,298.9,292.77,295.29,116632,60
1509022800,295.29,297.4,293.6,294.7,90975,60
1509026400,294.7,295,293,293.86,90485,60
1509030000,293.86,297,292.77,294.09,84593,60
1509033600,296.36,296.7,293.38,294.29,97827,60
1509037200,294.29,296.7,294,296.38,76767,60
1509040800,296.38,296.7,294.29,294.29,110013,60
1509044400,294.29,297,294,296.16,57072,60
1509048000,294.29,296.7,294,295.94,95913,60
1509051600,295.94,296.4,294.29,295.48,96067,60
1509055200,295.48,295.48,295.48,295.48,0,60
1509058800,295.48,296.4,294.29,295.28,40020,60
1509062400,295.63,296.7,294,295.73,53126,60
1509066000,295.47,296.68,294.22,294.7,31125,60
1509069600,294.7,296.68,293.5,296.68,30286,60
1509073200,296.68,297.38,292.48,297,9026,60
1509076800,297,297,293.64,293.64,37027,60
1509080400,293.64,297,293.06,293.06,10590,60
1509084000,293.06,300,293.06,294,20628,60
1509087600,294,294.01,294,294.01,1023,60
1509091200,294.01,294.01,293.13,293.13,277,60
1509094800,293.13,293.13,293.13,293.13,0,60
1509098400,293.13,293.13,293.13,293.13,0,60
1509102000,293.13,293.13,293.13,293.13,0,60
1509105600,293.13,295,293.13,294.42,18349,60
1509109200,294.42,294.73,293.47,293.47,17587,60
1509112800,293.47,299,293.47,299,4,60
1509116400,299,299,299,299,0,60
1509120000,299,299,294,294,440,60
1509123600,294,296.8,294,296.8,1424,60
1509127200,296.56,296.76,296.22,296.36,453,60
1509130800,296.36,296.8,296.2,296.3,399,60
1509134400,296.48,296.68,295.7,296.52,368,60
1509138000,296.59,296.64,295.7,296.52,418,60
1509141600,296.67,296.8,295.75,296.33,283,60
1509145200,296.69,299,294,296.41,492,60
1509148800,296.41,296.62,292.08,295.49,6366,60
1509152400,295.42,295.72,291.72,291.72,2182,60
1509156000,292.68,296.94,291.72,294.99,417,60
1509159600,294.99,298.05,291.99,292.71,2270,60
1509163200,292.71,294.48,290.13,292.73,328,60
1509166800,292.31,292.75,292.31,292.74,387,60
1509170400,292.73,294.59,291.2,292.91,411,60
1509174000,292.91,294.58,291.2,292.87,412,60
1509177600,292.87,292.87,292.02,292.09,390,60
1509181200,292.09,292.87,292.08,292.14,402,60
1509184800,292.14,293.8,291.2,292.57,336,60
1509188400,292.41,293.8,291.2,292.81,420,60
1509192000,292.81,293.69,291.61,293.12,2959,60
1509195600,293.09,293.68,290,293.68,3764,60
1509199200,292.84,295.85,292.84,294.69,6822,60
1509202800,294.62,295.83,292.03,292.11,890,60
1509206400,292.11,292.2,291.79,292.16,351,60
1509210000,292.09,292.94,292.04,292.89,452,60
1509213600,292.09,293.72,291.5,293.72,374,60
1509217200,291.5,292.71,291.5,292.62,366,60
1509220800,292.56,292.71,292.13,292.16,440,60
1509224400,292.16,293.72,290.6,292.13,435,60
1509228000,292.13,292.29,292.06,292.13,338,60
1509231600,292.13,296.5,290.71,293.51,411,60
1509235200,293.47,293.65,291.94,292.04,442,60
1509238800,292.04,294.9,291.94,292.03,763,60
1509242400,292.16,292.9,292.09,292.85,666,60
1509246000,292.79,292.9,292.7,292.84,578,60
1509249600,292.8,294.99,292.39,294.88,1551,60
1509253200,294.83,294.83,292,292.88,891,60
1509256800,292.95,293.15,292,293.14,1545,60
1509260400,293.14,296.48,293.13,295.67,536,60
1509264000,295.8,296.48,294.96,295.65,728,60
1509267600,295.33,296.48,294.96,296.03,949,60
1509271200,295.71,296.14,293.06,295.09,13548,60
1509274800,295.09,311,294.21,302.04,25247,60
1509278400,303.79,307.5,302.5,305.04,8466,60
1509282000,307.9,311.5,304.5,304.88,9908,60
1509285600,304.88,306.79,304.68,305.14,622,60
1509289200,305.13,310.99,304.01,308,7821,60
1509292800,309.41,309.41,305,308.23,1900,60
1509296400,308.17,308.49,303.5,305.43,7409,60
1509300000,305.38,308.27,304.6,306.52,746,60
1509303600,306.53,306.53,304.53,305.05,1565,60
1509307200,305.08,305.53,302,304.65,1594,60
1509310800,304.7,305.53,303.77,304.67,772,60
1509314400,304.69,309,304.61,305.12,903,60
1509318000,305.12,306.59,302.5,304.31,2710,60
1509321600,304.26,308.5,304.21,306.41,4476,60
1509325200,306.35,311,305.03,308.22,695,60
1509328800,308.27,310.5,305,306.3,671,60
1509332400,306.27,306.5,304.3,306.45,2381,60
1509336000,307.15,308,306.31,307,1026,60
1509339600,307.03,308,306,307.01,3392,60
1509343200,307.02,308.25,306.9,308.13,12382,60
1509346800,308.17,310.54,308,309.27,2769,60
1509350400,309.31,310.54,308,308.01,3000,60
1509354000,308.01,310.52,308,309.53,1572,60
1509357600,309.58,309.68,308,308.69,1532,60
1509361200,308.7,309.3,308.47,308.47,658,60
1509364800,308.46,308.67,305.96,306.41,24007,60
1509368400,305,308.24,304.5,306.48,7956,60
1509372000,306.41,306.59,305.62,305.7,542,60
1509375600,305.68,306.29,302.5,305.53,976,60
1509379200,305.45,307.5,304.38,305.33,39149,60
1509382800,305.15,307,304.94,305.22,699,60
1509386400,305.19,305.35,305.06,305.3,498,60
1509390000,305.21,305.35,303.5,305.24,561,60
1509393600,305.25,305.35,304.9,305.02,729,60
1509397200,305,305.32,304.9,305.32,690,60
1509400800,304.9,305.77,304.9,305.02,576,60
1509404400,305.03,307,303.51,306.18,706,60
1509408000,306.2,307.99,304.5,306.24,1864,60
1509411600,305.85,307.99,305.69,307,5645,60
1509415200,306.88,308.19,303.01,308.19,5690,60
1509418800,308.19,308.3,308,308.29,12604,60
1509422400,308.29,308.29,307,307.61,2167,60
1509426000,307.54,310,307,309.59,6858,60
1509429600,309.63,309.65,307,307.68,9467,60
1509433200,307.78,308.27,307.1,307.66,3170,60
1509436800,307.61,307.71,307,307.39,5974,60
1509440400,307.39,308.99,306.41,308.99,36071,60
1509444000,307.42,308.1,305.5,306.66,755,60
1509447600,306.59,308.07,306.22,307.54,873,60
1509451200,307.48,307.99,305.6,307.28,2899,60
1509454800,307.21,307.29,305.6,306,6215,60
1509458400,306.04,306.13,303.33,303.33,11094,60
1509462000,303.75,307.69,302.53,305.64,2420,60
1509465600,305.53,307.68,304.51,306.08,14192,60
1509469200,306.02,307.56,304.55,306.12,1913,60
1509472800,306.08,306.15,305.95,306.05,657,60
1509476400,306.07,306.09,305.19,305.29,602,60
1509480000,305.37,305.39,305.19,305.27,620,60
1509483600,305.33,305.39,303.12,303.12,3411,60
1509487200,303.1,304.85,303.02,304.77,844,60
1509490800,304.81,304.87,303.57,303.57,733,60
1509494400,304.45,304.52,302.53,303.41,3782,60
1509498000,303.43,303.85,302,302.47,16914,60
1509501600,302.46,302.49,301.48,301.73,16700,60
1509505200,301.82,303.76,301.51,302.01,12776,60
1509508800,302.68,303,301.51,302.24,18439,60
1509512400,301.88,302.99,300.01,300.86,5506,60
1509516000,300.78,303.59,300.57,301.52,8926,60
1509519600,302.22,304.44,301.52,301.79,16423,60
1509523200,301.74,303,301.52,302.25,7155,60
1509526800,302.27,303,301.01,301.25,4442,60
1509530400,301.27,301.49,296,297.67,66105,60
1509534000,297.67,299.89,294.51,295.53,16562,60
1509537600,295.02,298.5,293.5,298.5,82794,60
1509541200,297.69,300,295.5,297.51,21618,60
1509544800,297.77,302.9,295.5,300.05,48460,60
1509548400,300,302.5,299.01,299.01,23149,60
1509552000,299.44,299.56,295,296.03,25476,60
1509555600,296.1,296.15,294.04,295.2,16393,60
1509559200,295.15,295.56,295.15,295.47,650,60
1509562800,295.52,296.1,295.52,296.04,604,60
1509566400,295.98,299.02,295.86,297.97,8838,60
1509570000,298.04,298.4,295.86,296.62,2791,60
1509573600,296.61,296.73,291.08,292.45,23362,60
1509577200,292.55,293,288.52,289.24,115725,60
1509580800,289.98,293,287.6,287.6,68702,60
1509584400,287.95,288.5,276,288.5,82557,60
1509588000,286.64,290.99,286.02,286.7,33796,60
1509591600,286.81,287.5,282.2,285.7,44682,60
1509595200,285.67,287.58,284,284.56,56582,60
1509598800,284.47,284.8,281,282.56,22234,60
1509602400,282.48,283.99,280,280,83897,60
1509606000,280,283.03,278,280,73652,60
1509609600,280,284.5,278,278,54683,60
1509613200,278.51,280,278,278.85,33149,60
1509616800,278.92,281.15,271.5,276.31,88236,60
1509620400,276.31,293.8,272,286.07,138891,60
1509624000,286.07,289.58,282,283.29,54548,60
1509627600,282.02,286.5,278.71,283.5,93893,60
1509631200,284.05,290.3,282.01,290,18996,60
1509634800,290.14,290.15,285,287.71,22383,60
1509638400,287.71,287.76,285,286.24,25280,60
1509642000,285,286.32,284.5,284.71,7558,60
1509645600,284.74,285.77,283.52,285,3760,60
1509649200,284.87,285.77,284.83,285.33,778,60
1509652800,286.49,287.86,284.1,285.37,4326,60
1509656400,285.33,286.53,282.51,283.39,2864,60
1509660000,283.39,286.6,282,283.5,13531,60
1509663600,284.2,284.98,282,283.51,21168,60
1509667200,283.66,289.79,283.07,287.05,5502,60
1509670800,287.08,290.99,285.62,289.8,83520,60
1509674400,289.64,290.5,287.16,288.66,36037,60
1509678000,288.63,289.29,283,285.33,83796,60
1509681600,285.28,288.61,283.12,287.49,80808,60
1509685200,287.57,290,287,288.31,42634,60
1509688800,287.8,290.19,287.32,288.29,54461,60
1509692400,288.15,289.99,287.31,289.3,56456,60
1509696000,289.25,292.28,289,291,122484,60
1509699600,291,292.07,289,291.11,86513,60
1509703200,290.18,292,287.6,292,24493,60
1509706800,292,299,289.88,296.5,138865,60
1509710400,296.42,298.44,296,296,87504,60
1509714000,296.9,301,296.68,297.3,97831,60
1509717600,297.39,299.13,296.21,297.58,78655,60
1509721200,297.21,305,297.21,302.29,230268,60
1509724800,301.41,303.19,293,295.56,127488,60
1509728400,295.45,297.88,293,297.75,20947,60
1509732000,297.62,297.98,295,296.96,14750,60
1509735600,296.98,299.83,296.97,298.73,12423,60
1509739200,299.3,301.49,298,301.49,53869,60
1509742800,301.49,309.48,301.49,309.48,103569,60
1509746400,309.48,309.5,300.5,305.03,54502,60
1509750000,305.03,309.28,305.03,307.09,41809,60
1509753600,307.04,307.74,300.13,300.19,103362,60
1509757200,300.76,301.13,292.12,297.73,93617,60
1509760800,294.12,298.16,292.4,292.86,48483,60
1509764400,292.5,294.49,292.5,293.79,35740,60
1509768000,293.79,297.97,293.6,296.43,88447,60
1509771600,295.03,297.42,295.03,297.3,8911,60
1509775200,297.26,299.89,296,297.97,30886,60
1509778800,297.94,299.89,295.23,297.49,3683,60
1509782400,296.52,299,296.5,298.45,17830,60
1509786000,298.57,301.8,298,300.47,24114,60
1509789600,300.99,304.88,300.05,302.3,24476,60
1509793200,302.14,302.19,300.53,301.42,28522,60
1509796800,301.51,301.66,300.11,300.12,39895,60
1509800400,300.12,300.9,299,299.35,35275,60
1509804000,299.44,302,298.04,300.8,54591,60
1509807600,300.86,303,299.62,299.76,23176,60
1509811200,299.76,300.37,297,298.5,37184,60
1509814800,298.53,299.5,297.52,299.03,14973,60
1509818400,299.08,299.78,298.12,299.68,3971,60
1509822000,299.7,300.37,298.2,299.01,2588,60
1509825600,298.05,299.43,297,298.35,31608,60
1509829200,298.54,298.54,298,298.26,5239,60
1509832800,298.28,300.15,298.28,299.33,8263,60
1509836400,299.32,301.56,299.29,300.39,35181,60
1509840000,300.33,303,300.25,301.88,28802,60
1509843600,301.88,301.88,299,299.27,22297,60
1509847200,299.26,299.4,298.1,298.94,12000,60
1509850800,298.92,299.9,298.86,299.86,14577,60
1509854400,299.39,299.87,298.49,299.17,8871,60
1509858000,299.11,299.5,298.1,298.51,8134,60
1509861600,298.49,302,298.16,298.51,126421,60
1509865200,298.32,299.45,298.11,298.13,29559,60
1509868800,298.47,298.86,296.66,297.2,52989,60
1509872400,297.2,297.5,296,297.25,33356,60
1509876000,297.18,298.2,296.4,296.8,3948,60
1509879600,296.79,298,294.91,295.24,80350,60
1509883200,295,296.95,290.01,295.76,64286,60
1509886800,295.73,295.77,292.5,293.46,65770,60
1509890400,293.69,299.5,291,296.5,167843,60
1509894000,296.46,297.78,294,294.5,51253,60
1509897600,294.5,297.8,294.5,296.7,6785,60
1509901200,297,300,295.62,296.17,17990,60
1509904800,296.19,296.94,295,295.6,14317,60
1509908400,295.64,296.45,293.01,294.63,6528,60
1509912000,294.58,295.9,292,294.56,18815,60
1509915600,294.56,298.37,293.19,298.37,30406,60
1509919200,298.37,299,296.23,296.23,3371,60
1509922800,296.09,298.92,295.56,296.65,11646,60
1509926400,296.62,296.63,293.07,293.94,24818,60
1509930000,293.23,295.22,292.23,294.49,5457,60
1509933600,294.48,296.87,292.5,294.76,29568,60
1509937200,294.85,295,294.03,294.35,8045,60
1509940800,294.28,295.44,292.91,293.74,25113,60
1509944400,293.77,295,292.84,294.38,8949,60
1509948000,294.29,295.58,293.86,295,26241,60
1509951600,295.08,295.1,293.36,294.34,21836,60
1509955200,294.29,296.81,290.05,295.97,95073,60
1509958800,296,299.97,293.51,293.51,162554,60
1509962400,293.52,298.8,293.5,297.56,32617,60
1509966000,297.51,303,296.69,301.71,70866,60
1509969600,301.84,305.25,301.71,302.73,84886,60
1509973200,302.73,304.38,300,300.44,88983,60
1509976800,300.46,300.98,298,298.76,29970,60
1509980400,298.73,302.17,295.51,301.95,42919,60
1509984000,301.95,302.17,299.38,299.93,6586,60
1509987600,300.05,302,299.01,301.79,20390,60
1509991200,301.72,301.81,299.06,301.19,5163,60
1509994800,300.82,303.9,300.82,303.01,7232,60
1509998400,303.01,305.89,299.21,301.05,44118,60
1510002000,300.59,300.72,300.5,300.57,630,60
1510005600,300.54,300.67,295,297.3,42658,60
1510009200,297.3,300,296.27,296.63,23152,60
1510012800,297.88,299,295,296.84,17354,60
1510016400,296.97,299.54,296.4,298.29,10983,60
1510020000,298.67,300.89,298.49,300.34,31691,60
1510023600,300.79,303.91,298.04,299.5,33986,60
1510027200,299.22,300.73,298.03,298.56,40267,60
1510030800,298.7,299,296.2,297.74,57992,60
1510034400,297.74,300,297.14,299.34,35920,60
1510038000,299.34,300.29,297.13,297.29,153557,60
1510041600,297.29,299.37,297.25,298.48,196354,60
1510045200,298.72,299.27,298.01,298.19,197791,60
1510048800,298.14,300,298.13,299.18,140471,60
1510052400,299.18,302.64,299.18,302.14,179701,60
1510056000,302.14,302.68,298.33,298.34,332762,60
1510059600,298.34,298.9,293,293.52,374568,60
1510063200,293.52,293.69,288.01,288.39,168271,60
1510066800,288.46,290,288.4,288.99,112090,60
1510070400,288.99,291,288.8,290,69978,60
1510074000,290.01,292.76,289.82,292.5,69360,60
1510077600,292.63,293,290.03,290.34,49080,60
1510081200,290.08,291.34,290.07,290.3,44926,60
1510084800,290.14,291.64,288.82,289.16,87769,60
1510088400,289.17,293.17,288.11,292.55,93055,60
1510092000,292.08,294.44,291.78,292.12,73675,60
1510095600,292.42,292.7,291.77,292.7,70582,60
1510099200,291.87,294.45,290.52,292.26,109036,60
1510102800,292.28,296.08,292.06,294,209986,60
1510106400,294.15,295,293.4,294.02,135113,60
1510110000,294.01,296.73,294.01,295.33,135491,60
1510113600,295.33,296.74,293.51,294,152124,60
1510117200,294,296.81,287.01,295.55,311066,60
1510120800,296,298.98,295.6,296.81,179379,60
1510124400,296.87,296.87,294.03,294.61,138225,60
1510128000,294.63,297.63,294.31,296.23,80446,60
1510131600,296.23,297.2,296.1,296.89,133177,60
1510135200,296.89,298.6,296.7,297.92,122308,60
1510138800,297.92,300,297,297.13,152485,60
1510142400,297.16,298.5,296.75,296.93,99070,60
1510146000,296.93,298,296,297.69,137845,60
1510149600,297.69,298.97,297.62,298.59,96725,60
1510153200,298.6,301.23,298.5,300.31,176543,60
1510156800,300.79,300.79,298.17,298.17,133632,60
1510160400,298.17,298.97,292.84,298.11,277058,60
1510164000,298.28,313.58,298.28,307.4,705962,60
1510167600,307.4,318,305.12,313.9,267674,60
1510171200,313.81,318.8,310,314.64,245473,60
1510174800,314.82,314.82,307.87,310.25,153740,60
1510178400,310.34,311.53,308.68,309.1,122067,60
