번호,요일,유형,제안서명,장수,성격,상태,나간날,비고
B001,월,I 운영시나리오,4~5성급 호텔 객실관리 운영 시나리오 — 체크인부터 퇴실까지,7,범용,대기,,신라호텔 계보·카스카디아 참조
B002,월,I 운영시나리오,리조트·콘도 운영 시나리오 — 장기체류·회원제 운영,7,범용,대기,,DM 제외 규칙 반영
B003,월,I 운영시나리오,기숙사·연수원 운영 시나리오 — 입·퇴소 단체 관리,7,범용,대기,,SK하이닉스 1116실 구조 참조
B004,월,I 운영시나리오,PMS 연동 운영 시나리오 — 프론트↔객실관리 데이터 흐름,5,범용,대기,,
B005,화,객실 배치,1~3성급 객실 표준 배치 제안 — K·챠임벨·온조기+L,5,범용,대기,,km-room-layout 확정규칙
B006,화,객실 배치,4~5성급 객실 표준 배치 제안 — K+DM·BSP·베란다 L 별도,5,범용,대기,,
B007,화,객실 배치,스위트·거실형 객실 배치 제안 — 거실입구 온조기+L·멀티아울렛,5,범용,대기,,조선호텔 스위트 38실 참조
B008,화,객실 배치,주거약자실 배치 제안 — 비상호출·설치높이 기준,5,범용,대기,,장애인실 표기 금지
B009,수,J 매뉴얼,FIP 사용 매뉴얼 — 각층 린넨실 단말 운영,5,범용,대기,,FIP 완성품 261100
B010,수,J 매뉴얼,방재실 운영 PC 매뉴얼 — 객실현황·알람 처리,5,범용,대기,,PC 방재실 1EA
B011,수,K 넘버링,객실 넘버링 운영계획,5,범용,대기,,거제 벨버디어·삼척TF 계보
B012,수,J 매뉴얼,준공 인계 매뉴얼 — 운영자 교육 커리큘럼,7,범용,대기,,하나글로벌 인재개발원 계보
B013,목,G 기구물,2000M 시리즈 기구물 디자인 카탈로그,5,범용,대기,,규격 미정 시 기본계열 2000M
B014,목,D 사양카드,BSP 일체형 — 온도+조명+USB+유니버셜 콘센트,1,범용,대기,,4~5성급 침대옆 표준
B015,목,G 기구물,챠임벨·키센서 디자인 — 도어락 손잡이쪽 설치 기준,1,범용,대기,,문 입구 복도
B016,목,G 기구물,타사 배선기구 결합 시 공급·설치 구분표,1,범용,대기,,ABB 결합 모델
B017,금,레퍼런스,객실관리 납품 레퍼런스 — 호텔·리조트 20선,5,범용,대기,,사진대지 13건 활용
B018,금,B-2 경쟁사,경쟁사 비교 — 루트론 myRoom vs 한국마이크로닉,1,범용,대기,,
B019,금,B 비교검토,CB 외함 매입형 vs 노출형 비교 검토서,7,범용,대기,,compare 타입
B020,금,E 공동제안,파트너 공동 제안 — 도어락·출입관리 결합,9,범용,대기,,HSE 모델
