# 도면 기호 사전 - 이 파일만 고치시면 수량 뽑는 기준이 바뀝니다.
# 맞추기 : 정확 = 글자가 이것과 똑같을 때만 / 포함 = 이 낱말이 들어 있으면
# 쓸모 없는 줄은 앞에 # 을 붙이거나 지우시면 됩니다.
기호,품목,맞추기
CHIME,챠임벨,포함
챠임,챠임벨,포함
차임,챠임벨,포함
BELL,챠임벨,포함
KS,키센서(K),정확
K,키센서(K),정확
KEY,키센서(K),포함
키센서,키센서(K),포함
DM,도어표시(DM),정확
DOOR,도어표시(DM),포함
BSP,BSP(온도+조명+USB+유니버셜),포함
TH,온도조절기,정확
T,온도조절기,정확
THERMO,온도조절기,포함
온도,온도조절기,포함
L,조명스위치(L),정확
LS,조명스위치(L),정확
LSW,조명스위치(L),정확
LIGHT,조명스위치(L),포함
MO,멀티아울렛,정확
MULTI,멀티아울렛,포함
멀티,멀티아울렛,포함
OUTLET,멀티아울렛,포함
FIP,FIP(린넨실),포함
RCU,RCU,포함
MMO,MMO,포함
PC,OPERATION PC,정확
CB,CB 외함,정확
# ---- 아래는 셈에서 빼는 낱말입니다 (품목칸이 「무시」) ----
ROOM,무시,정확
TYPE,무시,정확
SCALE,무시,정확
PLAN,무시,정확
NOTE,무시,정확
NO,무시,정확
EA,무시,정확
SET,무시,정확
MM,무시,정확
THK,무시,정확
FL,무시,정확
FFL,무시,정확
DN,무시,정확
UP,무시,정확
DIM,무시,정확
DETAIL,무시,정확
SECTION,무시,정확
LEGEND,무시,정확
객실,무시,포함
평면,무시,포함
도면,무시,포함
범례,무시,포함
축척,무시,포함
비고,무시,포함
에어컨,무시,포함
AIRCON,무시,포함
DIFF,무시,정확
