일자,현장,때,등급,할일,누가,왜,만들기,상태,완료일,코드
2026-09-18,연합기숙사,이번주,제안,최종 도면 카톡본과 메일본 대조,내부,상대 송부본 치수 오류를 우리 직원이 고친 건이라 두 본이 다를 수 있음,,대기,,KM-010
2026-09-18,연합기숙사,이번주,제안,도어락 유로CC 인증서를 승인원에 미리 첨부,협력업체,감리가 깐깐해 중국산 여부를 문제 삼을 수 있음. 선제 대응,,대기,,KM-009
2026-09-18,연합기숙사,이번주,제안,전력계량기 수량 299개 도면 기준 확정,내부(설계),"""한 299개잖아요"" 구두값. 감액·증액 근거가 되는 숫자",,대기,,KM-008
2026-09-18,연합기숙사,이번주,확정,전력계량기 299개 - 작업 범위 서면 확정 (소판 부착 반입 / 타공만 / 전량 제외),협력업체·공장,견적 제외 상태로 진행하면 설치 시점에 비용 공방. 베이스먼트 간선 연결 범위도 미정,작업 범위 확인서,진행중,,KM-007
2026-09-18,양양쏠비치,이번주,확정,별동 68실 온도조절기 삭제 감액 내역 작성 + 삼호MEP 서면 회신,삼호MEP,전화로만 확정됨. 감액이라 서면 근거 없으면 나중에 분쟁,감액 내역서 + 메일 문안,대기,,KM-006
2026-09-18,연합기숙사,9/21(월),확정,도어락 도출 파일 확인 후 승인원 뒤 첨부,협력업체,9/17 협의 - 월요일경 도출 예정,,대기,,KM-005
2026-09-18,연합기숙사,이번주,확정,견적서 송부 독촉 - 명절 전 계약 완료,일능 홍승조 부장,"계약이 되어야 CB외함 출고 가능. 상대가 ""깜빡했다"" 반복",메일 문안,대기,,KM-004
2026-09-18,연합기숙사,오늘,확정,CB외함 최단 23일 - 석고 9/18 착수 건 시공사 회신,시공사(건축) 차장,9/15 단축 가능 여부 확인 요청받고 아직 회신 안 함. 오늘이 석고 착수일,메일 문안,대기,,KM-003
2026-09-18,연합기숙사,오늘,확정,도어락 자재승인원 작업 파일 송부,협력업체,승인원 갑지 목차에 도어락 추가 + 뒤에 첨부해야 함. 9/17 약속,메일 문안,대기,,KM-002
2026-09-18,연합기숙사,오늘,확정,연합기숙사 타공도 정식 재송부,김경찬 팀장,"9/8 발송분을 상대가 못 받았다고 함. 9/17 ""내일 보내겠다"" 약속",메일 문안,대기,,KM-001
