일자,현장,항목,값,근거,누가,상태
2026-09-18,연합기숙사,타공도 송부 이력,2026-09-08 발송 / 09-09 읽음 표시 / 상대는 미수신 주장,260917 김경찬 팀장 14:56 통화,녹취판독,확정
2026-09-18,연합기숙사,도어락 인증,"유로CC 방식, 전파·통신 인증서 확보 완료",260917 김경찬 팀장 14:15 통화,녹취판독,확정
2026-09-18,연합기숙사,전력계량기 설치비,마이크로닉 견적에서 제외됨,260917 김경찬 팀장 14:15 - 원 견적 포함분을 사장이 제외,녹취판독,확정
2026-09-18,연합기숙사,계약 형태,정식 계약서 (내역서 + 사업자등록증 + 공사 기본 내역서 첨부),260915 홍승조 부장 15:30 통화,녹취판독,확정
2026-09-18,연합기숙사,CB외함 출고 조건,명절 전 계약 완료 필요,260915 홍승조 부장 15:30 통화,녹취판독,확정
2026-09-18,연합기숙사,CB외함 최단 납품일,2026-09-23 (수),260915 홍승조 부장 15:30 통화,녹취판독,확정
2026-09-18,양양쏠비치,바닥난방 운용,발주처 자체 운용 (밸브 수동 추정),260915 권진희 과장 10:23 통화,녹취판독,확정
2026-09-18,양양쏠비치,별동 신축 구성,"68실, 방 2개 + 출입구 1개",260915 권진희 과장 10:23 통화,녹취판독,확정
2026-09-18,양양쏠비치,32실 기존 구성,"L타입 RF키센서 + 입구인디게이터, 바닥센서 없음",260915 권진희 과장 10:27 통화,녹취판독,확정
2026-09-18,양양쏠비치,32실 온도조절기,현 변경설계대로 유지 (삭제 안 함),"260915 권진희 과장 13:56 - ""32실은 그냥 온도 있고"" / ""거기 얘긴 안 했으니까""",녹취판독,확정
2026-09-18,양양쏠비치,온도조절기 삭제 대상,별동 신축 68실,"260915 권진희 과장 13:56 통화 - ""68실짜리 맞대요""",녹취판독,확정
