# 도면 품목명이 단가장 이름과 다를 때 한 줄 추가하십시오.,
"# 왼쪽이 도면 품목명에 들어 있으면, 오른쪽이 든 단가장 줄을 씁니다.",
# 오른쪽에 맞는 줄이 2개 이상이면 애매하다고 알리고 금액을 비웁니다(잘못 세지 않게).,
도면품목(포함되면),단가장이름(포함되면)
입구 INDICATOR,CI-2000M
KEY SENSOR,KD-2000M
BED SIDE PANEL(전등,BSP-2000M
옷장 1버튼,LIGHT SWITCH 1버튼
"# 4~6버튼은 통신가, 1~3버튼은 접점가 (km-fixture-cost 확정 규칙)",
욕실 5버튼,LS-2005 (통신)
욕실 6버튼,LS-2006 (통신)
5버튼,LS-2005 (통신)
6버튼,LS-2006 (통신)
FLOOR INDICATOR,FLOOR INDICATOR PANEL
OPERATION PC,OPERATION PC
비상호출,EM-2000
방문자,VL-2000
# 아래는 일부러 비워 둡니다 - 단가장에 해당 품목이 없습니다,
# BED SIDE PANEL(온도  ->  2000M 에 온도형이 없습니다. 단가를 정하시면 여기에 한 줄,
# LIGHT SWITCH + 온도  ->  버튼 수가 정해지면 여기에 한 줄,
