현장,녹음건수,총분,처음,마지막,안한지(일),경보,주로 통화한 분
연합기숙사,47,436,2026-08-24,2026-09-17,0,,일능홍승조부장연합기숙사통신소장 / 연합기숙사통신감리 / 일능김대석이사연합기숙사통신
조선호텔,20,55,2026-08-22,2026-09-18,0,,조선호텔시설팀박영락과장님 / 조선호텔진현창대리 / 조선호텔김수길파트장님
유한대,11,60,2026-08-25,2026-09-17,0,,참빛파워텍양광웅과장유한대전기 / 유한대통신감리 / 유한대 통신 감리
전북연수원,7,33,2026-08-28,2026-09-18,0,,서영서다니엘차장전북연수원통신(함추가 / 유성씨앤씨김태연부장(전북연수원) / 정상티이씨천성우부장전북연수원
양양쏠비치,6,26,2026-09-08,2026-09-18,0,,삼우MEP이은승이사대명양양리조트 / 소노양양담당한다고한분 / 양양쏠비치 삼우MEP이은승이사대명양양리조트
해운대,6,47,2026-08-31,2026-09-08,9,주의,루테크주진원대표해운대김경원 / 루테크강대필부장해운대조선
염곡동(국보),5,25,2026-09-02,2026-09-11,6,,국보정재철소장염곡동
지경리(LFE&C),5,14,2026-09-01,2026-09-07,10,주의,LFE&C설비임영국팀장지경리
워케이션,4,11,2026-08-28,2026-09-18,0,,태석계전최기석팀장워케이션
고급주택(국보디자인),4,179,2026-09-07,2026-09-09,8,주의,국보디자인이미란고급주택
단양디캠프,4,17,2026-09-03,2026-09-07,10,주의,단양군청최재훈주무관단양디캠프 / 단양디캠프지배인 / 현대통신공사김종수이사단양디캠프통신
청담PJ,4,100,2026-08-24,2026-08-28,20,★조용,신세게건설천현길파트너청담PJ
부천대학교,2,5,2026-08-24,2026-08-31,17,★조용,부천대학교 소사캠퍼스
전남연수원,2,3,2026-08-27,2026-08-27,21,★조용,전남연수원전기소장
명동머큐어,1,1,2026-09-17,2026-09-17,0,,명동 머큐어호텔
청명중학교,1,0,2026-09-16,2026-09-16,1,,더힐이앤씨정병권선임청명중학교
만다린오리엔탈,1,42,2026-09-14,2026-09-14,3,,
SK용인클러스터,1,5,2026-09-10,2026-09-10,7,주의,
남해커튼,1,0,2026-09-08,2026-09-08,9,주의,구우트박서영이사(남해커튼)
U5호텔,1,6,2026-09-08,2026-09-08,9,주의,안채전병연부장U5호텔통화
경북농업연수원,1,1,2026-09-07,2026-09-07,10,주의,더힐이앤씨김태형수석경북농업연수원
용산,1,18,2026-09-07,2026-09-07,10,주의,
용사의집,1,4,2026-09-03,2026-09-03,14,★조용,일신이엔드씨김병설소장용사의집
광희동1가,1,2,2026-09-03,2026-09-03,14,★조용,이엠이엔씨한규훈실장광희동1가제천팬션
제천팬션,1,2,2026-09-03,2026-09-03,14,★조용,이엠이엔씨한규훈실장광희동1가제천팬션
국가공무원,1,5,2026-09-03,2026-09-03,14,★조용,광운정보박종건차장국가공무원
금호모듈러,1,5,2026-08-31,2026-08-31,17,★조용,금호모듈러리조트전기업체목업
강원랜드,1,19,2026-08-31,2026-08-31,17,★조용,
롯데,1,19,2026-08-31,2026-08-31,17,★조용,
남산힐튼,1,10,2026-08-28,2026-08-28,20,★조용,
장학재단기숙사,1,24,2026-08-28,2026-08-28,20,★조용,
군산(비터닝),1,8,2026-08-27,2026-08-27,21,★조용,
